path,transcript
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503599.wav,განსაკუთრებით ამას იწვევდა წითელი ფერის და რუსულენოვანი ფრაზების გამოყენება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503600.wav,დასახლებული იყო პალეოლითის დროიდან.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503601.wav,განკუთვნილია ცოცხალი ძალის დასაზიანებლად თავდაცვით ბრძოლაში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503623.wav,მათზე ორივე მშობელი ზრუნავს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503624.wav,დასავლეთ კედლის თავზე პატარა სამრეკლო დადგეს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503625.wav,შესასვლელი მას აღმოსავლეთის მხრიდან აქვს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503626.wav,"ამის მიზეზი ის იყო, რომ მარია სოფიას ყოველთვის შურდა მარია ტერეზიას გავლენისა თავის ქმარზე."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503627.wav,სოსონო იყო მთავარი ფიგურა კოგურიოს და პექჩეს სამეფოების დაარსების საქმეში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503660.wav,აკადემიიდან გამოვიდა ფაშისტური დიქტატურის წინააღმდეგ პროტესტის ნიშნად.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503664.wav,ბუნებრივად გავრცელებულია მთელ ევროპაში და აზიის ზოგიერთ რაიონში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503665.wav,გაღატაკებული მოსახლეობა იჯერებდა რომ ეს ნამდვილად ტახტის მემკვიდრე იყო და უერთდებოდა ცრუ დიმიტრის რაზმებს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503667.wav,"მისი ძალისხმევით დაღუპვას გადაურჩა გერმანელთა ტყვეობაში ჩავარდნილი ათასობით ქართველი, ყოფილი საბჭოთა სამხედრო მოსამსახურე."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503668.wav,ბალკანური სამზარეულოს ნაწილია.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25507199.wav,ხუთი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25507200.wav,ნული
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25507201.wav,შვიდი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25507202.wav,ორი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25507203.wav,დიახ
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25511832.wav,თავდაპირველად შუაველი იმყოფებოდა მათი მხრიდან საშიშროების ქვეშ.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25511833.wav,"ის ერთადერთი და პირველი ხელოვნური ობიექტია, რომელმაც ეს მოახერხა."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25511834.wav,შედის ეკონომიკურ-სტატისტიკურ მიკრორეგიონ ასტორგის შემადგენლობაში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25511835.wav,"მათი მუსიკა ინდი-როკ ჟანრის სიმღერებს მოიცავს, რომელთა უდიდესი ნაწილი ინგლისურენოვანია."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25511836.wav,თუმცა მამაკაცი გადარჩა და პოლიციაში მოახერხა თავდამსხმელის აღწერა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527828.wav,შედეგად მელკონოვ-ეზეკოვის სახლი გუმბათის წყალობით რამდენიმე მეტრით მაღალი აღმოჩნდა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527829.wav,"საგულისხმოა, რომ ფიში ამ ვიდეოში მაყურებლის წინაშე პირველად გამოჩნდა გრიმის გარეშე."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527836.wav,ის დადებითად მიიღო სათამაშო პრესამ.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527838.wav,განეკუთვნება გერმანიკული ენების აღმოსავლეთ ჯგუფს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527839.wav,მეფის საქმიანობის კონტროლი დაექვემდებარა პარლამენტს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527840.wav,"ალყა სამ თვეს გაგრძელდა, მაგრამ უშედეგოდ."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527842.wav,შენობა გადახურულია კრამიტის ორფერდა სახურავით.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25527852.wav,მიეკუთვნება მარანიანის შტატის სამხრეთ-ცენტრალურ მეზორეგიონს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25529963.wav,სამი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25529964.wav,ხუთი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25529965.wav,იგი პოლიტიკურად აქტიური და გამოჩენილი პიროვნება იყო.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25529966.wav,"გამოიყენება როგორც წყალსაცავი, ამიტომ მისი დონე ხელოვნურადაა აწეული."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25529967.wav,სოფელი გორგული ექვემდებარება საქართველოს საპატრიარქოს ახალციხისა და ტაო-კლარჯეთის ეპარქიას.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530003.wav,"მან დაამტკიცა, რომ ცნობილი ბერძენი მწერლის, ჰომეროსის, პოემებს რეალური საფუძველი ჰქონდა."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530004.wav,შედის დანდალოს თემში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530005.wav,ყველა ასეთ შემთხვევაში ინიშნება თავისუფალი დარტყმა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530006.wav,ყმაწვილს ბავშვობიდან დაჰყვა აბსოლუტური სმენა და იგი მშობლებმა ევროპაში გაგზავნეს სასწავლებლად.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530007.wav,თავისუფლების ფორუმი იმართება ყოველ წელს ივნისის თვეში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530046.wav,ისინი გამოიყენება სტომატოლოგიაში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530047.wav,ქალაქში განვითარებულია ტურიზმი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530048.wav,გუნდებმა შეთანხმებას მიაღწიეს და ანდრე იჯარის წესით გადავიდა ესპანურ გუნდში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530049.wav,ინარჩუნებენ თვითმყოფად კულტურას.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530050.wav,ასპარეზობს რუმინეთის ეროვნულ ნაკრებსა და იტალიურ „ფიორენტინაში“.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530269.wav,სამეურნეო მნიშვნელობა არ აქვს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530270.wav,ანატომიური და ფიზიოლოგიური თავისებურებით ადამიანის მსგავსი მაიმუნები სხვა მაიმუნებთან შედარებით ყველაზე ახლო დგანან ადამიანებთან.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530271.wav,"მათ მოაწესრიგეს აგრარული სფერო, გაიყვანეს საირიგაციო სისტემა, ააშენეს არქიტექტურული ძეგლები."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530272.wav,დაამთავრა თბილისის კადეტთა კორპუსი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25530274.wav,"ფილმში მთავარ როლებს ასრულებენ: ალექსანდრე ომიაძე, ოთარ მეღვინეთუხუცესი, ვახტანგ ნინუა, დოდო აბაშიძე და სხვები."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533219.wav,"სურათები შესრულებულია წითელი, ყვითელი, მწვანე და შავი ფერის საღებავებით."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533220.wav,ორბელიანს აპატიმრებენ და სასწრაფოდ გზავნიან თბილისში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533222.wav,ის საკუთარი ხმით იმიტაციას უკეთებს ბუნებაში არსებულ თითქმის ყველა ხმას.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533223.wav,გავრცელებულია ქართლის რაიონებში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533281.wav,როტას კუნძული მდებარეობს მარიანას არქიპელაგის სამხრეთ ნაწილში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533282.wav,რამდენიმე სართულის ერთობლიობა ქმნის გეოლოგიურ სექციას.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533283.wav,მყინვარი დნობასა და სიგრძის შემცირებას განიცდის.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533284.wav,ის პირველი ქალი სტუდენტი გახდა კლასში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25533285.wav,"პროტესტი შეეხო სხვა ქვეყნებს, რომელთა შორის იყვნენ მექსიკა, სამხრეთ აფრიკის რესპუბლიკა და ესპანეთი."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534021.wav,ნული
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534022.wav,სამი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534023.wav,ხუთი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534024.wav,ექვსი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534025.wav,შვიდი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534029.wav,ერთი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534030.wav,არა
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534031.wav,დიახ
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534032.wav,ოთხი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534033.wav,ცხრა
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534047.wav,ორი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534048.wav,რვა
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25534049.wav,"შესართავთან აჩენს ესტუარს, რომლის სამხრეთ ნაწილს ეწოდება დელავერის ყურე."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25542077.wav,გადაჭიმულია წყნარი ოკეანის სანაპიროდან მექსიკის ყურემდე.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25542086.wav,ფასადების მნიშვნელოვან ნაწილზე ჩამოცვენილია ნალესი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25542094.wav,ჰოლიდეის სტრუქტურები უჯრედში მხოლოდ დროებით არსებობს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25542100.wav,რიო-ნეგროს დეპარტამენტის ადმინისტრაციული ცენტრი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25543947.wav,რეჟისორ ელდარ შენგელაიას ძმა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25543955.wav,"ჩრდილოეთით და ჩრდილო-დასავლეთით ესაზღვრება სალონიკის ნომს, ხოლო დანარჩენი მხრიდან ეგეოსის ზღვა."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25543968.wav,სერიალის შემქმნელი და იდეის ავტორია მარტინ ჰანი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25556655.wav,არის სახელმწიფო თეატრი და სხვა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25556661.wav,"მაგდალინელი ცდილობს, დაამშვიდოს იგი."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25556662.wav,გუთური ერგეს ნაწილს წარმოადგენდა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25556669.wav,მარსელში არის საერთაშორისო აეროპორტი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25556670.wav,აღმოსავლეთიდან ესაზღვრება მოუსონის ზღვა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25556671.wav,ნასყიდობის საფუძველზე მრავალი ხელშეკრულება აღმოცენდა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25556672.wav,ასევე არსებობს ბევრი პატარა კლუბები.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579956.wav,ამბოსელის პარკს საკუთარი მცირე აეროპორტი აქვს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579957.wav,თამაშის შეფასება ხდება ათ ბალიანი სისტემით.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579963.wav,"მას ჰყავდა უფროსი ძმები, რის გამოც სელჩუკთა სახელმწიფოში ტახტისათვის ბრძოლა და არეულობა დაიწყო."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579966.wav,"მისდევდნენ აგრეთვე მებაღეობას, მევენახეობას, მეფუტკრეობას."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579975.wav,დღევანდელ დღეს მეცნიერებაში ყველა ინდოევროპულ ერთან ტერმინი „არიული“ არ გამოიყენება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579986.wav,ამჟამად შენობაში განლაგებულია აზერბაიჯანის რესპუბლიკის მეცნიერებათა აკადემია.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579992.wav,გავრცელებული იყო ძველ ეგვიპტეში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579993.wav,დამოუკიდებელი პერუს პირველი პრეზიდენტი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25579999.wav,დასავლეთი და აღმოსავლეთი ფასადების ფრონტონის წყობაში ჩაძირული ჯვრებია გამოსახული.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580005.wav,დაამთავრა სოფლის ორკლასიანი სასწავლებელი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580006.wav,"მატყლი ხშირია, მაგარი, ერთგვაროვანი, აბრეშუმისებრი."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580020.wav,ამავე დროს ერთი და იმავე ნივთიერებების ურთიერთქმედებისას სხვადასხვა კატალიზატორის მონაწილეობით სხვადასხვა პროდუქტი მიიღება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580023.wav,"გამართა ბევრი კონცერტი, როგორც თურქეთში, ისე საზღვარგარეთ, განსაკუთრებით გერმანიაში."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580048.wav,"შესაბამისად, მიმდინარეობს დებატები იმაზე, თუ რამდენად მიზანშეწონილია ამ სფეროს სპეციალური რეგულირება."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580049.wav,ორბელიანს აპატიმრებენ და სასწრაფოდ გზავნიან თბილისში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580050.wav,ომის დასრულების შემდეგ ის იყო მუსტაფა ქემალ ათათურქის თანამებრძოლი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580054.wav,ტყის ზონის ზემოთ სუბალპური და ალპური მდელოებია.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580056.wav,სახლი შედის ისტორიისა და კულტურის ძეგლთა სიაში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580063.wav,აიზეკ აზიმოვი ძირითადად ცნობილია თავისი სამეცნიერო პოპულარული ნაშრომებისა და სამეცნიერო ფანტასტიკური მოთხრობებით.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580065.wav,დაბრუნდნენ რუსები და მოიგეს კიდეც ჩემპიონატი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580074.wav,მან ნამდვილად დაამტკიცა სტაბილურობა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580083.wav,განსაკუთრებით მნიშვნელოვანია მის მიერ ჩამოყალიბებული ჰიპოთეზა სინათლის ტალღური ბუნების შესახებ.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580093.wav,როგორც ყოველთვის გამარჯვების მთავარი ფავორიტები ჩინელები და რუსები იყვნენ.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580096.wav,"ნაგებობას გარს თხრილი აკრავს, რომელიც ზღვას უერთდება."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580103.wav,ეკლესია სხვადასხვა ზომის უხეშად დამუშავებული ქვითაა ნაგები.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25580114.wav,"აღმოსავლეთ ფასადზე, მაღალ, სამკუთხა ბაზისზე დადგმული, შეღრმავებული ჯვარია გამოსახული."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25582306.wav,აქ მეფის წინააღმდეგ მოეწყო შეთქმულება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25585119.wav,თემს მართავდა სტრატეგოსი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25585125.wav,მდებარეობს ტირიფონის ვაკეზე.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25585126.wav,"შემდეგ მოთხრობილია პირველი ქრისტიანი მეფის, იმავე მირიანის, შესახებ."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25585130.wav,ჩრდილო-აღმოსავლეთიდან ეკვრის ნოვოროსიისკის უბე.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25585133.wav,ფასადების ქვები შედარებით დაუმუშავებელია.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25593164.wav,ამ გამარჯვებამ ინგლისელებს გაუადვილა საფრანგეთის მიწა-წყლის დაპყრობა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25593231.wav,მორაი ბავშვობიდანვე ოცნებობდა მსახიობობაზე.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25603587.wav,ერთი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25603588.wav,არა
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25603590.wav,ოთხი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25607137.wav,იგი ჩემს მეორე ნახევარს ან ჩემს თავში არსებული ერთმანეთის საპირისპირო ელემენტებს ეხება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25621847.wav,ნახატს განსაკუთრებული ადგილი ეჭირა ძველ ეგვიპტეში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25663749.wav,ხიდი მდებარეობს იქ სადაც ერთმანეთს უერთდება გრიბოედოვის არხი და მდინარე მოიკა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25674508.wav,მის სახელს ატარებდა რამდენიმე ქუჩა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25674511.wav,"ეს ემბლემა წარმოადგენს მხიარულ, პატარა კაცს, რომელიც ჯანსაღი და ენერგიული მოქალაქეების სიმბოლოა."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25674512.wav,მეორე მსოფლიო ომამდე სოფელში მხოლოდ დაწყებითი სკოლა იყო.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25674513.wav,ნასოფლარის თავზე ზურგიანი კოშკია.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25674514.wav,იზრდება ღრმა თიხიან და წითელმიწა გაეწრებულ ნიადაგებზე.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675416.wav,ბუდობენ ზღვის ფრინველები.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675417.wav,საქართველო მსხლის წარმოშობის ერთ-ერთ კერად ითვლება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675418.wav,სოფელში დგას შუა საუკუნეების ეკლესია და კოშკი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675420.wav,ინსტიტუტს ჰქონდა მდიდარი ბიბლიოთეკა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675421.wav,ოთხი საათი გრძელდება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675731.wav,დასავლეთით შეიმჩნევა შესასვლელის კვალი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675732.wav,სამშობლოში დაბრუნების შემდეგ დაკავდა საადვოკატო პრაქტიკით.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675733.wav,ეკლესიის ბორცვს შემოუყვებოდა გალავანი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675735.wav,თამაშობს მარცხენა მცველის პოზიციაზე.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25675737.wav,მზადდება ისპანახის და მაწვნის საშუალებით.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676033.wav,"დედამიწაზე ხდება პარანორმალური, ამოუხსნელი მოვლენები."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676035.wav,"კვლევით სამუშაოში მონაწილეობას იღებენ უნივერსიტეტის სტუდენტები, ასპირანტები."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676036.wav,მათი რიცხვი ოცდაათამდე აღწევს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676037.wav,ასეთი კონცენტრაციის დროს წყლის ხარისხზე ზემოქმედება უმნიშვნელოა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676038.wav,ტურიზმისა და დასვენების ცენტრია საბერძნეთში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676250.wav,ზოგიერთი მარილი წყალში გახსნისას განიცდის ჰიდროლიზს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676253.wav,საკუთრივ ბრალდება არც ერთ შემთხვევაში არ ყოფილა დამტკიცებული.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676254.wav,საფუძვლად უდევს შედარება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676256.wav,დაამთავრა დელის უნივერსიტეტი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676257.wav,მათ მალევე შეუყვარდათ ერთმანეთი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676544.wav,სპეციალობით ინჟინერმა რვა წელი გაატარა აზიაში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676546.wav,"ის არის ექიმი, მწერალი, გამომგონებელი და კონსულტანტი."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676548.wav,ოქსიდები გვხვდება სამივე აგრეგატულ მდგომარეობაში და აქვთ სხვადასხვა ფერი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676549.wav,გამოცემული აქვს ლექსების რვა კრებული.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25676550.wav,ძეგლი ნაგებია ქვიშაქვით.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25687720.wav,მათი ქვეყანა ძირითადად მოიცავდა დღევანდელ კაპადოკიას.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25687721.wav,ჯგუფი გადაღებებით კმაყოფილი არ იყო.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25687722.wav,"ის იკვლევდა კეთილშობილ ქვებს, გოგირდს და ფისს."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25687723.wav,"უძველესი ფორმა კვადრატული ფორმის ბაზილიკა უნდა ყოფილიყო, აფსიდთან ერთად."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25687724.wav,ბიბლიოთეკაში ასევე არსებობდა წიგნის გადამწერთა შტატი.
